time	X60kH_0.9W	X60kH_1.1W	X60kH_1.3W	X90kH_0.9W	X90kH_1.1W	X90kH_1.3W
0	20	20	20	20	20	20
1e-09	20.001	20.001	20.001	20	20.001	20.001
2e-09	20.001	20.001	20.002	20.001	20.001	20.001
2.5e-09	20.002	20.002	20.002	20.001	20.002	20.002
2.5e-09	20.002	20.002	20.002	20.001	20.002	20.002
3.5e-09	20.002	20.003	20.003	20.002	20.002	20.003
4.5e-09	20.003	20.004	20.004	20.003	20.003	20.004
6.5e-09	20.005	20.006	20.008	20.004	20.005	20.006
1.05e-08	20.013	20.016	20.019	20.012	20.014	20.017
1.85e-08	20.075	20.092	20.109	20.066	20.081	20.096
3.45e-08	21.406	21.719	22.031	21.266	21.547	21.829
5.05e-08	31.557	27.133	27.737	30.444	32.765	27.645
5.93e-08	46.905	44.999	45.822	45.313	49.575	46.995
6.8e-08	77.338	79.818	81.217	75.543	83.054	84.885
7.59e-08	121.38	129.97	132.39	119.75	131.86	139.8
8.38e-08	180.83	192.54	197.59	179.21	198.39	208.71
9.16e-08	249.06	267.14	278.08	246.18	275.73	291.32
9.95e-08	314.46	344.07	365.53	302.82	351.12	376.93
1.06e-07	359.87	405.7	447.89	342.76	404.89	445.83
1.13e-07	386.64	448.26	507.88	367.07	437.34	493.52
1.19e-07	398.44	474.68	548.11	374.81	452.26	523
1.25e-07	396.94	484.58	566.55	368.54	451.09	533.61
1.31e-07	385.71	480.33	565.43	352.87	437.73	527.83
1.37e-07	368.89	465.95	549.79	332.71	417.04	510.15
1.43e-07	350.14	445.86	525.71	311.98	393.5	485.64
1.49e-07	331.95	423.86	498.55	293.07	370.4	458.78
1.56e-07	315.63	402.54	472.06	276.97	349.63	432.76
1.62e-07	301.76	383.31	448.22	263.88	332.13	409.4
1.68e-07	289.91	366.6	427.66	253.2	317.53	389.69
1.8e-07	270.69	352.48	410.37	236.86	295.17	373.08
1.92e-07	255.67	340.25	395.51	225.12	279.31	347.4
2.05e-07	243.22	319.85	370.81	216	267.3	328.97
